ecgi,site_id,cell_name,enodeb_id,cell_az_deg,tac,cell_lat,cell_lon,cell_id,cell_carrier_freq_mhz,cell_txpwr_dbm
1001,Site1,Cell1,1,0,1,40.72262299607999,-73.96285072028542,cell_1_0,2100,23.652077179405364
1001,Site1,Cell2,1,120,1,40.72262299607999,-73.96285072028542,cell_1_120,2100,26.651557934460048
1001,Site1,Cell3,1,240,1,40.72262299607999,-73.96285072028542,cell_1_240,2100,26.099310906061877
1002,Site2,Cell1,2,0,1,40.764464748822796,-74.03473619626247,cell_2_0,2100,26.005240852956074
1002,Site2,Cell2,2,120,1,40.764464748822796,-74.03473619626247,cell_2_120,2100,23.626579606728157
1002,Site2,Cell3,2,240,1,40.764464748822796,-74.03473619626247,cell_2_240,2100,26.064065399641635
1003,Site3,Cell1,3,0,1,40.751287874009805,-74.00010754738126,cell_3_0,2100,25.17002380430032
1003,Site3,Cell2,3,120,1,40.751287874009805,-74.00010754738126,cell_3_120,2100,25.744627065128533
1003,Site3,Cell3,3,240,1,40.751287874009805,-74.00010754738126,cell_3_240,2100,25.544278527268997
1004,Site4,Cell1,4,0,1,40.72807479020144,-73.98193576644555,cell_4_0,2100,24.416322150580623
1004,Site4,Cell2,4,120,1,40.72807479020144,-73.98193576644555,cell_4_120,2100,25.29975704902191
1004,Site4,Cell3,4,240,1,40.72807479020144,-73.98193576644555,cell_4_240,2100,25.853825613659673
1005,Site5,Cell1,5,0,1,40.73857536532349,-73.9812884520322,cell_5_0,2100,24.846744918591426
1005,Site5,Cell2,5,120,1,40.73857536532349,-73.9812884520322,cell_5_120,2100,24.056041591623714
1005,Site5,Cell3,5,240,1,40.73857536532349,-73.9812884520322,cell_5_240,2100,23.403390232766366
1006,Site6,Cell1,6,0,1,40.732401820649976,-74.03711433536444,cell_6_0,2100,26.774993122014564
1006,Site6,Cell2,6,120,1,40.732401820649976,-74.03711433536444,cell_6_120,2100,24.039726645755596
1006,Site6,Cell3,6,240,1,40.732401820649976,-74.03711433536444,cell_6_240,2100,23.35503578152708
1007,Site7,Cell1,7,0,1,40.731817739839364,-73.96267718173506,cell_7_0,2100,26.168452358333234
1007,Site7,Cell2,7,120,1,40.731817739839364,-73.96267718173506,cell_7_120,2100,23.303185021795425
1007,Site7,Cell3,7,240,1,40.731817739839364,-73.96267718173506,cell_7_240,2100,26.02401554417961
1008,Site8,Cell1,8,0,1,40.72054250589253,-73.95583071788404,cell_8_0,2100,25.038543420556053
1008,Site8,Cell2,8,120,1,40.72054250589253,-73.95583071788404,cell_8_120,2100,24.948038481581843
1008,Site8,Cell3,8,240,1,40.72054250589253,-73.95583071788404,cell_8_240,2100,25.72687745502977
1009,Site9,Cell1,9,0,1,40.767122937662194,-74.03963769390424,cell_9_0,2100,26.44190760818301
1009,Site9,Cell2,9,120,1,40.767122937662194,-74.03963769390424,cell_9_120,2100,24.320109548554218
1009,Site9,Cell3,9,240,1,40.767122937662194,-74.03963769390424,cell_9_240,2100,24.249043398210155
1010,Site10,Cell1,10,0,1,40.79361628181891,-73.98691967506737,cell_10_0,2100,25.989077670088637
1010,Site10,Cell2,10,120,1,40.79361628181891,-73.98691967506737,cell_10_120,2100,24.28042771226284
1010,Site10,Cell3,10,240,1,40.79361628181891,-73.98691967506737,cell_10_240,2100,23.61821446235947
